	created_at	conversation_id	text	edit_history_tweet_ids	reply_settings	referenced_tweets	lang	id	in_reply_to_user_id	author_id	public_metrics.retweet_count	public_metrics.reply_count	public_metrics.like_count	public_metrics.quote_count	public_metrics.impression_count
60	2023-03-06T11:58:03.000Z	1632708680624795648	@MAGA__Patriot Good Morning 🌞☕	['1632712139340218370']	everyone	[{'type': 'replied_to', 'id': '1632708680624795648'}]	en	1632712139340218370	3436761485	1601047163517243393	0	0	1	0	10
61	2023-03-06T11:58:02.000Z	1632708680624795648	"@MAGA__Patriot Morning, 
I follow all patriots back @TJ_Patriot1"	['1632712138870358017']	everyone	[{'type': 'replied_to', 'id': '1632708680624795648'}]	en	1632712138870358017	3436761485	1518903227114262528	0	0	1	0	14
62	2023-03-06T11:58:00.000Z	1632712127575121922	"McConnell stirs GOP intrigue with support for Biden’s infrastructure bill  #MAGA #TRUMP2024 #Trump

https://t.co/LkhLCLhzx0"	['1632712127575121922']	everyone		en	1632712127575121922		1574096740696920065	0	0	0	0	7
63	2023-03-06T11:57:59.000Z	1632712125649920001	"RT @lance_cotten: G.M. ☀️ it's Monday
#Blueparty people 💙
It’s A FB PARTY 🥳
🚫MAGA Allowed
Meet new friends 

🚨Follow @Forgetfulness19 

Par…"	['1632712125649920001']	everyone	[{'type': 'retweeted', 'id': '1632683764869480449'}]	en	1632712125649920001		50493770	272	0	0	0	0
64	2023-03-06T11:57:59.000Z	1632712123619897344	"RT @POTUS: Nearly 25% of the entire national debt – that took 200 years to accumulate – was added by the last Administration.

Meanwhile, w…"	['1632712123619897344']	everyone	[{'type': 'retweeted', 'id': '1632410644161994754'}]	en	1632712123619897344		1345566422706106368	10539	0	0	0	0
65	2023-03-06T11:57:56.000Z	1632712114040127488	RT @ZaleskiLuke: Trump was the attack. He’s Putin’s human malware and he’s literally dividing and conquering America. Have a nice national…	['1632712114040127488']	everyone	[{'type': 'retweeted', 'id': '1632711175161954306'}]	en	1632712114040127488		1426563572675584005	68	0	0	0	0
66	2023-03-06T11:57:55.000Z	1632712106469642243	RT @PoliticusSarah: Hakeem Jeffries “The big lie has consequences and democracy is held together by some basic principles, such as free and…	['1632712106469642243']	everyone	[{'type': 'retweeted', 'id': '1632390609297088514'}]	en	1632712106469642243		2598713862	696	0	0	0	0
67	2023-03-06T11:57:52.000Z	1632473303729471488	@SenRickScott @JoeBiden Untrue…but MAGA morons buy it.	['1632712095639781381']	everyone	[{'type': 'replied_to', 'id': '1632473303729471488'}]	en	1632712095639781381	131546062	1599182467877015552	0	0	0	0	2
68	2023-03-06T11:57:52.000Z	1632712093689434112	"RT @JamesTate121: Dear MAGA,

 Curly Howard, Milton Berle, Tony Curtis and Jack Lemmon, Elmer Fudd, Bugs Bunny, Flip Wilson, Tom Hanks and…"	['1632712093689434112']	everyone	[{'type': 'retweeted', 'id': '1632480584462155777'}]	en	1632712093689434112		144036263	182	0	0	0	0
69	2023-03-06T11:57:51.000Z	1632712090694701056	"RT @MichaelArt123: Pres Biden
I'm not going to be lectured by MAGA Republicans about fiscal responsibility."	['1632712090694701056']	everyone	[{'type': 'retweeted', 'id': '1632707779008819202'}]	en	1632712090694701056		4653654021	18	0	0	0	0
70	2023-03-06T11:57:44.000Z	1632712060621537282	RT @ZaleskiLuke: Trump was the attack. He’s Putin’s human malware and he’s literally dividing and conquering America. Have a nice national…	['1632712060621537282']	everyone	[{'type': 'retweeted', 'id': '1632711175161954306'}]	en	1632712060621537282		1255070696549613568	68	0	0	0	0
71	2023-03-06T11:57:44.000Z	1632712060311154689	"RT @AndrewBlankHill: Are you wanting to start a new #MAGA-centric political party sweetie?
Got a name idea for you:

Conservative
Ultra-MAG…"	['1632712060311154689']	everyone	[{'type': 'retweeted', 'id': '1632513866537086979'}]	en	1632712060311154689		17597266	2	0	0	0	0
72	2023-03-06T11:57:42.000Z	1632712052807553026	RT @ProjectLincoln: Crazy that MAGA doesn't like history since that's the last time their ideas were relevant.	['1632712052807553026']	everyone	[{'type': 'retweeted', 'id': '1632561649600151554'}]	en	1632712052807553026		2898227819	346	0	0	0	0
73	2023-03-06T11:57:40.000Z	1632712045157298178	RT @MartyTa94849826: I think both parties have had to make changes following Jan6 and the attempted overthrow of the United States. The Rep…	['1632712045157298178']	everyone	[{'type': 'retweeted', 'id': '1632557177737977858'}]	en	1632712045157298178		253830312	86	0	0	0	0
74	2023-03-06T11:57:38.000Z	1632712037187956743	RT @MartyTa94849826: CPAC passed out Trump Russian flags . No longer is the discussion over the war in Ukraine about will we fund Ukraine o…	['1632712037187956743']	everyone	[{'type': 'retweeted', 'id': '1632584494405304320'}]	en	1632712037187956743		2907894496	1670	0	0	0	0
75	2023-03-06T11:57:33.000Z	1632712017248153604	"RT @LadyJustice4512: Stop thinking ""MAGA Christian"" means we are required to put up with your shit, we're not, and we won't.

Being Christi…"	['1632712017248153604']	everyone	[{'type': 'retweeted', 'id': '1632516327536558080'}]	en	1632712017248153604		1348819002655707137	122	0	0	0	0
