	reply_settings	id	lang	text	conversation_id	author_id	referenced_tweets	edit_history_tweet_ids	created_at	public_metrics.retweet_count	public_metrics.reply_count	public_metrics.like_count	public_metrics.quote_count	public_metrics.impression_count	in_reply_to_user_id	geo.place_id	withheld.copyright	withheld.country_codes
56	everyone	1633676651220410369	en	RT @GregDelawie: So Trump's plan on Ukraine is to surrender to Russia just like he surrendered to the Taliban?  @steadystatevets	1633676651220410369	912957650	[{'type': 'retweeted', 'id': '1633676433615728640'}]	['1633676651220410369']	2023-03-09T03:50:40.000Z	1	0	0	0	0				
57	everyone	1633676651023200258	en	@akaDottiedanger @lackboys3 @Dan19726 Obama invited Russia into Syria, ostensibly to get them to stop using poison gas, but the Russians created a stronghold thanks to Obama.  Kurds did not fight ISIS on our behalf, but to defend themselves.  BTW, did ISIS even exist before the Obama withdrawal from Iraq?	1633548794074738689	1059189580270895105	[{'type': 'replied_to', 'id': '1633667123582205953'}]	['1633676651023200258']	2023-03-09T03:50:40.000Z	0	0	0	0	0	865244674318938112			
58	everyone	1633676646493421569	en	"RT @KanekoaTheGreat: Tucker Carlson asks top Republican presidential candidates if they support World War III:

1. Is opposing Russia in Uk…"	1633676646493421569	1540356302987300866	[{'type': 'retweeted', 'id': '1633309691274207232'}]	['1633676646493421569']	2023-03-09T03:50:39.000Z	1003	0	0	0	0				
59	everyone	1633676646157778944	en	"RT @Melitavandrer: ""The Earth is littered with the ruins of empires that once believed they were eternal."" 

The end of russia is near! Geo…"	1633676646157778944	712091527581982721	[{'type': 'retweeted', 'id': '1633234553505497093'}]	['1633676646157778944']	2023-03-09T03:50:39.000Z	162	0	0	0	0				
60	everyone	1633676638134185985	en	RT @Lauras4T: The people who are saying that #TuckerCarlsonIsALiar are the same people who still believe that President Trump colluded with…	1633676638134185985	1493994606568030215	[{'type': 'retweeted', 'id': '1633615091269500928'}]	['1633676638134185985']	2023-03-09T03:50:37.000Z	507	0	0	0	0				
61	everyone	1633676636246921219	en	RT @lesiavasylenko: 6000 proven cases of #Ukraine children stolen and deported to #russia. Only 307 have been rescued and returned to their…	1633676636246921219	1299450136980942849	[{'type': 'retweeted', 'id': '1633653787494588422'}]	['1633676636246921219']	2023-03-09T03:50:36.000Z	128	0	0	0	0				
62	everyone	1633676634812448768	en	@KeneAkers By this standard you are using Ukraine belongs to Russia and china owns Taiwan.	1631337292215328769	1106262772898103301	[{'type': 'replied_to', 'id': '1631337292215328769'}]	['1633676634812448768']	2023-03-09T03:50:36.000Z	0	0	0	0	1	545976685			
63	everyone	1633676633625473025	en	@SignatureEdo @ClareAdams @ZelenskyyUa As predicted by the intelligence of Ukraine and the West, that Russia has run out of missiles, as evidenced by: The Ukrainian government announced that a series of provinces were hit by missiles, proving that Russia only has a few tens of millions of missiles left.	1593627787470032898	1499597840993390594	[{'type': 'replied_to', 'id': '1633349415061831680'}]	['1633676633625473025']	2023-03-09T03:50:36.000Z	0	0	0	0	2	1499597840993390594			
64	everyone	1633676631398023168	en	@david10773 @SenSchumer @POTUS Ukraine’s, Russia’s and china’s not the USA Davey	1633539317111873544	1514993208169799683	[{'type': 'replied_to', 'id': '1633552026998022155'}]	['1633676631398023168']	2023-03-09T03:50:35.000Z	0	0	0	0	2	1293226495			
65	everyone	1633676630597009408	en	"RT @NwiteIkechukwu3: IPOB simply means ""The Indeginous people of Biafra

How can you tag these little children in the pictures below terror…"	1633676630597009408	1479638781716312064	[{'type': 'retweeted', 'id': '1633075568081088512'}]	['1633676630597009408']	2023-03-09T03:50:35.000Z	94	0	0	0	0				
66	everyone	1633676629523283968	en	@spittinchiclets Lake Placid 1980 Olympics - USA v Russia	1633538082044534978	1627883563994546176	[{'type': 'replied_to', 'id': '1633538082044534978'}]	['1633676629523283968']	2023-03-09T03:50:35.000Z	0	0	0	0	0	789600333915889668			
67	everyone	1633676629246607360	en	"RT @peterbakernyt: Trump tells Hannity on his radio show that he would have been willing to let Russia ""take over"" parts of Ukraine while h…"	1633676629246607360	2450047897	[{'type': 'retweeted', 'id': '1633604224843120640'}]	['1633676629246607360']	2023-03-09T03:50:35.000Z	1179	0	0	0	0				
68	everyone	1633676627568738305	en	"RT @chinacatsun1013: @POTUS @StateDept @DeptofDefense 

This piece of garbage has overseen the abduction of Ukrainian children for Russia.…"	1633676627568738305	1154952166815281157	[{'type': 'retweeted', 'id': '1626999427289255937'}]	['1633676627568738305']	2023-03-09T03:50:34.000Z	1	0	0	0	0				
69	everyone	1633676626507735040	en	"liar to old
Russia, and therefore needs to be described
_Iherb_Coupon_Code_Discount_Promocode_Supplment_Reward_S_
ray take a
seat. Would you https://t.co/7GsO0iOWjD"	1633676626507735040	202894296		['1633676626507735040']	2023-03-09T03:50:34.000Z	0	0	0	0	0				
70	everyone	1633676626398412802	en	@MargoGontar @ZelenskyyUa @ZelenskaUA @DefenceU @TDF_UA @AndriyYermak @scarfsduity @xqueenofnosesx @yuhmirr @LEVISQUADPETR4 @pikucart @TheExpIosive @Lone_SoulReaper @LadyKenpachi @NIGEKIKESSATSU @BUSTYBL0ND @POTUS @jensstoltenberg We asking we more weapons right we need more air defense systems now long range weapons now thorough night Russia occupation destroyed more our infrastructures	1633637186779115521	1631688800572145668	[{'type': 'replied_to', 'id': '1633676048721215489'}]	['1633676626398412802']	2023-03-09T03:50:34.000Z	0	0	0	0	1	1631688800572145668			
71	everyone	1633676625454972930	en	"@GraphicW5 What's their point. Did Russia declare anything against Georgia recently or are the Georgians having ""wet dreams"""	1633669670384328705	1420673295960088578	[{'type': 'replied_to', 'id': '1633669670384328705'}]	['1633676625454972930']	2023-03-09T03:50:34.000Z	0	0	0	0	1	1433137967615389696			
72	everyone	1633676625253646337	en	RT @wyattreed13: Increasingly difficult to hide how the West is using their proxy war with Russia to turn Ukrainian women into sex slaves	1633676625253646337	1166689233970614272	[{'type': 'retweeted', 'id': '1633617041486753796'}]	['1633676625253646337']	2023-03-09T03:50:34.000Z	34	0	0	0	0				
73	everyone	1633676619981127682	en	"RT @peterbakernyt: Trump tells Hannity on his radio show that he would have been willing to let Russia ""take over"" parts of Ukraine while h…"	1633676619981127682	4738352422	[{'type': 'retweeted', 'id': '1633604224843120640'}]	['1633676619981127682']	2023-03-09T03:50:33.000Z	1179	0	0	0	0				
74	everyone	1633676618932834305	en	RT @MaryPatFlynn1: @VaultedPolitics @BaddCompani Wonder when/if Dominion will seek depositions of certain @FoxNews Board members like forme…	1633676618932834305	1260346345006620673	[{'type': 'retweeted', 'id': '1633285259943899138'}]	['1633676618932834305']	2023-03-09T03:50:32.000Z	180	0	0	0	0				
75	everyone	1633676613526208513	en	"I have no doubt. He was turning us into Russia and is still trying with the fringe base 
And #JackSmith is aware of it  so this should be fun  
#wtpBLUE https://t.co/5arQw3UhQJ https://t.co/MV7rpFAhoz"	1633676613526208513	1566929452340232197	[{'type': 'quoted', 'id': '1633604224843120640'}]	['1633676613526208513']	2023-03-09T03:50:31.000Z	0	0	0	0	2				
76	everyone	1633676613207445506	en	@Global_Mil_Info Telling you Russia will win. It’s been all fun and games for one year. Putin has had it and now he’s f’ing shit up	1633675681316974594	1486663037708906500	[{'type': 'replied_to', 'id': '1633675681316974594'}]	['1633676613207445506']	2023-03-09T03:50:31.000Z	1	0	1	0	5	905563470707515394			
77	everyone	1633676609352876035	en	"RT @AZgeopolitics: 🇺🇸🛰️🇷🇺""Russia will remain a key space competitor
Russia continues to train its military space elements, and field new an…"	1633676609352876035	1172529779914022913	[{'type': 'retweeted', 'id': '1633574097736048640'}]	['1633676609352876035']	2023-03-09T03:50:30.000Z	36	0	0	0	0				
78	everyone	1633676609004920832	en	"RT @USA_Anne711: Russia Nuclear Submarines Deployed Off U.S. Coast Spark Alarm 

United States commanders and military observers are soundi…"	1633676609004920832	1448339857172877312	[{'type': 'retweeted', 'id': '1633529644774293504'}]	['1633676609004920832']	2023-03-09T03:50:30.000Z	31	0	0	0	0				
79	everyone	1633676608144908288	en	RT @shannonsharpeee: Charleston white said Ja Morant needs to do at least 180 days in Rikers Island or LA County or Send him to the Russia…	1633676608144908288	1244023340857274369	[{'type': 'retweeted', 'id': '1633542633581875200'}]	['1633676608144908288']	2023-03-09T03:50:30.000Z	354	0	0	0	0				
