	author_id	username	author_followers	author_tweets	author_description	author_location	text	created_at	retweets	replies	likes	quote_count
1267	1251286970321567744	1Coal	14144	6605	Video game designer and marketer for @SplitbrickRB	United States	"@xC_aleb @xJimm_y country first? 😭😭
- doesn't pay taxes
- pays his son's wifes $180k a year illegally
- has raped 26 females, some 18-
- illegally hold $400 million that he was supposed to give to Ukraine
- enforced his supporters to raid the capital killing 5 people
- said corona was fake...."	2021-01-20 20:21:42+00:00	0	0	8	0
1268	1276190084098859011	subjectio_relay	21	129871	#subjectio exposes the working of propaganda and geopolitical reality in 🇺🇦 🇲🇩 🇧🇾  🇧🇦 🇲🇪 🇲🇰 🇽🇰  🇷🇸		"@GAFollowers @TheRealAndrew_ Subjectio’s video-interviews give a voice to local actors in Belarus, Ukraine, Transnistria, North-Macedonia, Kosovo, Montenegro, Bosnia and Herzegovina:

https://t.co/2iUiNIhymg

@subjectio2020 #subjectio https://t.co/zqZB15H5yg"	2021-01-20 20:21:32+00:00	0	0	0	0
1269	1054104191143215104	T00183157	424	12717	Amazed how MSM lies. We don’t have to agree. Will block all Blue Anons, don’t have time to educate you.	Illinois, USA	@Timcast He stole 13 Billion from Ukraine. Ukraine prosecutors came out with evidence, Joe’s voice is on the recording’s. They impeached Trump for Ukraine to cover up Joe’s theft.	2021-01-20 20:21:29+00:00	0	0	0	0
1270	392183550	Dawn_HPK	11965	22782	Lifelong Dem. Lover of sci fi, classic lit, tequila, and Big10 basketball. SoCal gal in Indiana. Granddaughter of immigrants.            I❤IU. No DMs.	93 million miles from the Sun	@RicardoRich1960 @TXAG Bwahahaha...you keep telling yourself that, bro. There's no Ukraine investigation, there was no power outage at noon today, and Trump doesn't even know how to play chess let alone 3D chess. lol	2021-01-20 20:21:24+00:00	0	1	1	0
1271	1120729354974179328	VigintiQ	9	1601			@POTUS Congratulations Mr. President from Ukraine	2021-01-20 20:21:13+00:00	0	0	0	0
1272	1351516402386149378	FranklyAmbrose	493	11435	It gets better @smcdao		"@Alex_Houseof308 Good evening, please I got an opportunity to play football and also study in Ukraine but lack of funds is stopping me.

Please if you can help me with anything il really appreciate.

Thank you 

https://t.co/7IXhotAs61"	2021-01-20 20:20:58+00:00	0	0	0	0
1273	1276190084098859011	subjectio_relay	21	129871	#subjectio exposes the working of propaganda and geopolitical reality in 🇺🇦 🇲🇩 🇧🇾  🇧🇦 🇲🇪 🇲🇰 🇽🇰  🇷🇸		"@Solidarity_Star Subjectio’s video-interviews give a voice to local actors in Belarus, Ukraine, Transnistria, North-Macedonia, Kosovo, Montenegro, Bosnia and Herzegovina:

https://t.co/2iUiNIhymg

@subjectio2020 #subjectio https://t.co/j9T32RU5xK"	2021-01-20 20:20:55+00:00	0	0	0	0
1274	1043183860912140288	RaySpain6	10	7775		Ga.	@JohnJHarwood You forgot the quid pro quo that Joe Biden pulled on the Ukraine. You forgot the 1.5 billion that China gave the Biden family. So I guess that means that China owns the Biden family.	2021-01-20 20:20:34+00:00	0	0	0	0
1275	1576242038	rrfavaloro	666	180719	Audit•Accounting•Compliance•Behaviorism Psychology•NeuroLinguistics•Education•M.A. Exceptional Student Education 2018•B.S. Accounting 1995	Florida, USA	I cannot look at this fraud. I mentioned some Ukraine are with Canadian Germanic dominion. https://t.co/BWuSFC6J5H	2021-01-20 20:20:32+00:00	0	0	0	0
1276	31220228	WomansRant	55	1044	Savy woman with a zest for life with a focus on traveling and great food!	USA	@Public_Citizen But first, charges against #Biden for Ukraine quid pro quo	2021-01-20 20:20:28+00:00	0	0	0	0
