	id	conversation_id	text	edit_history_tweet_ids	reply_settings	author_id	lang	referenced_tweets	created_at	public_metrics.retweet_count	public_metrics.reply_count	public_metrics.like_count	public_metrics.quote_count	public_metrics.impression_count	in_reply_to_user_id	withheld.copyright	withheld.country_codes	geo.place_id
3937	1633874287907188738	1633874287907188738	RT @Gerashchenko_en: Russian propagandist Skabeyeva says that some restaurants in Great Britain started serving squirrels because of the fo…	['1633874287907188738']	everyone	533962243	en	[{'type': 'retweeted', 'id': '1633136675567153153'}]	2023-03-09T16:56:00.000Z	2656	0	0	0	0				
3938	1633874286183084032	1633874286183084032	"RT @ukrainiansquad: GLORY TO UKRAINE 🇺🇦 
GLORY TO HEROES 🇺🇦 https://t.co/murKVnDEOP"	['1633874286183084032']	everyone	50971639	en	[{'type': 'retweeted', 'id': '1633600911858647044'}]	2023-03-09T16:56:00.000Z	936	0	0	0	0				
3939	1633874285227044865	1633874285227044865	"Join Us for the live premiere of 
Eurovision 2023 🇬🇧  BIG 5 + UKRAINE - MY TOP 6

Check it out here: 👀
https://t.co/CyfCULBU0Z

Who is your favourite from the BIG 5?
Let us know in the comment secition of the video.

#eurovision #esc2023 #eurovision2023 #esc #big5 #MaeMuller https://t.co/Yp55mgrdEZ"	['1633874285227044865']	everyone	1600934332213956610	en		2023-03-09T16:56:00.000Z	0	0	1	0	38				
3940	1633874284883116033	1633874284883116033	"RT @Angelo4justice3: Stop spreading fake news about Nazism in Ukraine.
Random people lifting their arm in ""Ave Caesar"" style are just stret…"	['1633874284883116033']	everyone	2187057960	en	[{'type': 'retweeted', 'id': '1633860786857852934'}]	2023-03-09T16:56:00.000Z	43	0	0	0	0				
3941	1633874284644032512	1633874284644032512	"RT @KpsZSU: We need F-16. 
With these aircraft, we will be able to better protect the people and infrastructure of Ukraine. 
The F-16 will…"	['1633874284644032512']	everyone	2979045502	en	[{'type': 'retweeted', 'id': '1633776371645267968'}]	2023-03-09T16:56:00.000Z	1002	0	0	0	0				
3942	1633874284543377411	1633873542088630272	@McFaul Letting Putin “win” Ukraine is a curse that will destabilize him the most.	['1633874284543377411']	everyone	1041076799386648576	en	[{'type': 'replied_to', 'id': '1633873542088630272'}]	2023-03-09T16:56:00.000Z	0	0	0	0	24	454099919			
3943	1633874283637387264	1633566225065299972	@ukraine_map Yesterday, please !	['1633874283637387264']	everyone	626619744	en	[{'type': 'replied_to', 'id': '1633566225065299972'}]	2023-03-09T16:55:59.000Z	0	0	0	0	2	1512557049103757318			
3944	1633874283217956864	1633874283217956864	"Mar 15: In the face of uncertainty, how can better transport contribute to stronger economies &amp; communities?

Join #Ukraine’s Deputy Prime Minister @OlKubrakov &amp; @WorldBankECA’s @bjerde_anna for some fresh insights on transport &amp; resilience: https://t.co/AbldfUDNrS #TTDC23 https://t.co/y2TwnYBGnK"	['1633874283217956864']	everyone	2421039782	en		2023-03-09T16:55:59.000Z	1	0	2	0	101				
3945	1633874282861465600	1633874282861465600	"RT @DefenceU: russia’s MOD called today's massive missile attack on peaceful cities and villages of Ukraine a «strike of retribution»
Nazi…"	['1633874282861465600']	everyone	398986912	en	[{'type': 'retweeted', 'id': '1633846854915080194'}]	2023-03-09T16:55:59.000Z	257	0	0	0	0				
3946	1633874282202939393	1633874282202939393	RT @WarMonitors: ⚡️Lithuanian military intelligence: Russia has enough resources continue the war in Ukraine for two years — Reuters	['1633874282202939393']	everyone	1490350932193943552	en	[{'type': 'retweeted', 'id': '1633804405165178880'}]	2023-03-09T16:55:59.000Z	179	0	0	0	0				
3947	1633874278591647744	1633874278591647744	"to @AdamSchiff USA colonization  Ukraine
2016 Victoria Nuland:@UnderSecStateP 
-US advisors serve in 12 Ukrainian mins/-With US help, newly-vetted &amp; trained police officers patrol 18 cities/-US funds attorneys/-US to Ukraine $266 million train soldiers https://t.co/W8n5T5i6ft"	['1633874278591647744']	everyone	2607703608	en		2023-03-09T16:55:58.000Z	0	0	0	0	14				
3948	1633874278532644868	1633874278532644868	"RT @leslibless: Key Trump Impeachment Witness Vindman Busted For Dealing Lucrative $12M Defense Contracts in Ukraine
https://t.co/GLVa35Jqnl"	['1633874278532644868']	everyone	1594521609599066113	en	[{'type': 'retweeted', 'id': '1633797431342104579'}]	2023-03-09T16:55:58.000Z	610	0	0	0	0				
